"Zip Code","Name","Accounts","EIEC","S1901_C01_001E","S1901_C01_012E"
"60170","Elgin, IL",1,"n",NA,NA
"60171","River Grove, IL",4819,"n","3822","72466"
"60172","Roselle, IL",10639,"n","9102","104792"
"60173","Schaumburg, IL",8782,"n","6586","105243"
"60174","Saint Charles, IL",1504,"n","12742","99185"
"60175","Saint Charles, IL",6369,"n","8594","169742"
"60176","Schiller Park, IL",5214,"y","4311","65862"
"60177","South Elgin, IL",8342,"y","8318","118484"
"60178","Sycamore, IL",9760,"n","8648","84787"
"60179","Hoffman Estates, IL",1,"n",NA,NA
"60180","Union, IL",685,"n","580","111250"
"60181","Villa Park, IL",13363,"y","11384","86812"
"60183","Wasco, IL",4,"n","0","-"
"60184","Wayne, IL",926,"n","891","165703"
"60185","West Chicago, IL",12117,"y","10626","97415"
"60187","Wheaton, IL",12298,"n","10252","113614"
"60188","Carol Stream, IL",16146,"n","15267","104394"
"60189","Wheaton, IL",11955,"n","11998","117574"
"60190","Winfield, IL",4462,"n","4434","139130"
"60191","Wood Dale, IL",6673,"n","5226","86565"
"60192","Hoffman Estates, IL",5681,"n","5829","150404"
"60193","Schaumburg, IL",18040,"n","15629","89678"
"60194","Schaumburg, IL",8138,"n","7909","91402"
"60195","Schaumburg, IL",3335,"n","2341","90188"
"60196","Schaumburg, IL",11,"n",NA,NA
"60199","Carol Stream, IL",2,"n",NA,NA
"60201","Evanston, IL",17703,"n","16967","89032"
"60202","Evanston, IL",15784,"y","13917","96869"
"60203","Evanston, IL",1037,"n","1661","159922"
"60208","Evanston, IL",7,"n","16","-"
"60301","Oak Park, IL",1916,"n","2040","89654"
"60302","Oak Park, IL",16246,"y","14698","94036"
"60304","Oak Park, IL",7364,"n","6607","130290"
"60305","River Forest, IL",4523,"n","4341","144784"
"60401","Beecher, IL",3216,"n","2947","81201"
"60402","Berwyn, IL",23329,"n","22598","71449"
"60403","Crest Hill, IL",7664,"n","7710","68300"
"60404","Shorewood, IL",6714,"n","6907","118701"
"60406","Blue Island, IL",10175,"y","9182","55830"
"60407","Braceville, IL",719,"n","584","83542"
"60408","Braidwood, IL",3026,"n","2039","85625"
"60409","Calumet City, IL",16166,"y","14412","56727"
"60410","Channahon, IL",4776,"n","4433","112111"
"60411","Chicago Heights, IL",21643,"y","18205","56384"
"60412","Chicago Heights, IL",1,"y",NA,NA
"60415","Chicago Ridge, IL",6689,"n","5251","65168"
"60416","Coal City, IL",4068,"n","3773","76520"
"60417","Crete, IL",6643,"n","5837","90670"
"60419","Dolton, IL",8679,"y","8110","54748"
"60420","Dwight, IL",2282,"n","1847","67795"
"60421","Elwood, IL",1564,"n","1573","100956"
"60422","Flossmoor, IL",3938,"n","3585","136715"
"60423","Frankfort, IL",12133,"n","10999","134640"
"60424","Gardner, IL",995,"n","845","77134"
"60425","Glenwood, IL",3638,"y","3017","69278"
"60426","Harvey, IL",10462,"y","8396","41246"
"60428","Markham, IL",4160,"y","3611","48542"
"60429","Hazel Crest, IL",5902,"y","5172","56366"
"60430","Homewood, IL",9078,"n","7394","85136"
"60431","Joliet, IL",8631,"n","8904","109136"
"60432","Joliet, IL",7617,"y","6287","61345"
"60433","Joliet, IL",6336,"y","5308","58826"
"60434","Joliet, IL",1,"y",NA,NA
"60435","Joliet, IL",22010,"y","18872","72860"
"60436","Joliet, IL",7845,"y","6372","57815"
"60437","Kinsman, IL",95,"n","36","87500"
"60438","Lansing, IL",12988,"y","11327","68502"
"60439","Lemont, IL",8941,"n","8701","128028"
"60440","Bolingbrook, IL",18511,"y","17537","87009"
"60441","Lockport, IL",13800,"n","12460","98548"
"60442","Manhattan, IL",3745,"n","4469","123208"
"60443","Matteson, IL",8487,"n","8359","85878"
"60444","Mazon, IL",793,"n","714","83182"
"60445","Midlothian, IL",11876,"n","5925","67411"
"60446","Romeoville, IL",13522,"n","12592","96317"
"60447","Minooka, IL",5102,"n","5376","111593"
"60448","Mokena, IL",9628,"n","9013","119229"
"60449","Monee, IL",3849,"n","3704","89974"
"60450","Morris, IL",9537,"n","8702","82295"
"60451","New Lenox, IL",12723,"n","12425","128316"
